frame,time_sec,bat_detected,ball_detected,impact_detected,impact_confidence
702,24.21,1,1,0,0.0
703,24.24,1,1,0,0.0
704,24.28,1,1,0,0.0
705,24.31,1,1,0,0.0
706,24.34,1,1,0,0.0
707,24.38,1,1,0,0.0
708,24.41,1,1,0,0.0
709,24.45,1,1,0,0.0
710,24.48,0,1,0,0.0
711,24.52,0,1,0,0.0
712,24.55,0,1,0,0.0
713,24.59,0,1,0,0.0
714,24.62,0,1,0,0.0
715,24.66,0,1,0,0.0
716,24.69,1,1,0,0.0
717,24.72,1,1,0,0.0
718,24.76,1,1,0,0.0
719,24.79,0,1,0,0.0
